flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
D8218,Berlin SXF,SXF,Europe,DE,2018-04-20T05:40:00Z,823,145.671,422.7060268
EZY8003,Berlin TXL,TXL,Europe,DE,2018-04-20T08:45:00Z,810,143.37,416.0290179
A34259,Heraklion,HER,Europe,GR,2018-04-20T09:00:00Z,2721,481.617,1397.54933
MV521,Athens,ATH,Europe,GR,2018-04-20T11:10:00Z,2411,426.747,1238.328348
SK1746,Riga,RIX,Europe,LV,2018-04-20T19:00:00Z,443,113.851,330.3712054
ASE297,Duluth Intl.,DLH,other,US,2018-04-20T12:00:00Z,6632,1173.864,3406.301786
SK2553,Birmingham,BHX,America,US,2018-04-20T04:25:00Z,7632,1350.864,3919.917857
PS174,Kiev,KBP,Europe,UA,2018-04-20T02:50:00Z,1266,224.082,650.2379464
PC1283,Istanbul SAW,SAW,other,UA,2018-04-19T23:30:00Z,0,0,0
ST9512,Beirut,BEY,Asia,LB,2018-04-20T01:35:00Z,3109,550.293,1596.832366
LH809,Frankfurt,FRA,Europe,DE,2018-04-20T04:05:00Z,1188,210.276,610.1758929
LH2421,Munich,MUC,Europe,DE,2018-04-20T04:05:00Z,1316,232.932,675.91875
SK1767,Prague,PRG,Europe,CZ,2018-04-20T04:10:00Z,1056,186.912,542.3785714
SK1833,Athens,ATH,Europe,GR,2018-04-20T04:10:00Z,2411,426.747,1238.328348
SK1805,Palma,PMI,Europe,ES,2018-04-20T04:10:00Z,2453,434.181,1259.900223
AF1463,Paris CDG,CDG,Europe,FR,2018-04-20T04:05:00Z,1523,269.571,782.2372768
D85551,Barcelona,BCN,Europe,ES,2018-04-20T10:35:00Z,2281,403.737,1171.558259
SK535,Dublin,DUB,Europe,IE,2018-04-20T04:25:00Z,1630,288.51,837.1941964
SK1853,Alicante,ALC,Europe,ES,2018-04-20T04:30:00Z,2682,474.714,1377.518304
6F609,Chania,CHQ,Africa,AO,2018-04-20T04:30:00Z,7911,1400.247,4063.216741
2N552,Kramfors,KRF,Europe,SE,2018-04-20T04:30:00Z,401,103.057,299.0493304
OS318,Vienna,VIE,Europe,AT,2018-04-20T04:35:00Z,1243,220.011,638.4247768
SK702,Helsinki,HEL,Europe,FI,2018-04-20T04:45:00Z,397,102.029,296.0662946
NVR369,Rhodes,RHO,Europe,GR,2018-04-20T04:55:00Z,2653,469.581,1362.623437
DY4211,Palma,PMI,Europe,ES,2018-04-20T04:30:00Z,2453,434.181,1259.900223
DY4281,Helsinki,HEL,Europe,FI,2018-04-20T04:40:00Z,397,102.029,296.0662946
DY4103,Oslo,OSL,Europe,NO,2018-04-20T05:00:00Z,417,107.169,310.9814732
DY4151,Copenhagen,CPH,Europe,DK,2018-04-20T05:00:00Z,523,92.571,268.6212054
TP781,Lisbon,LIS,Europe,PT,2018-04-20T05:00:00Z,2993,529.761,1537.252902
SK2153,Goteborg,GOT,Europe,SE,2018-04-20T05:00:00Z,397,102.029,296.0662946
SK485,Oslo,OSL,Europe,NO,2018-04-20T05:00:00Z,417,107.169,310.9814732
SK589,Brussels,BRU,Europe,BE,2018-04-20T05:10:00Z,1282,226.914,658.4558036
DY4071,Goteborg,GOT,Europe,SE,2018-04-20T04:55:00Z,397,102.029,296.0662946
D82849,London LGW,LGW,Europe,GB,2018-04-20T05:05:00Z,1465,259.305,752.4475446
SK605,Zurich,ZRH,Europe,CH,2018-04-20T05:20:00Z,1471,260.367,755.5292411
