flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
SK577,Paris CDG,CDG,Europe,FR,2018-04-21T16:15:00Z,1523.0,269.57099999999997,782.2372767857141,
CAI686,Antalya,AYT,Europe,TR,2018-04-21T07:55:00Z,2660.0,470.82,1366.2187499999998,
IK328,TRENTO MATTTARE,ZIA,other,TR,2018-04-21T08:40:00Z,0.0,0.0,0.0,
MV521,Athens,ATH,Europe,GR,2018-04-21T11:10:00Z,2411.0,426.74699999999996,1238.3283482142856,
2N491,Kokkola/Jakobst,KOK,Europe,FI,2018-04-21T11:15:00Z,558.0,98.76599999999999,286.5977678571428,
NJE576G,Paris LBG,LBG,Europe,FR,2018-04-21T18:30:00Z,1532.0,271.164,786.8598214285713,
PC1283,Istanbul SAW,SAW,other,FR,2018-04-20T23:05:00Z,0.0,0.0,0.0,
SK1805,Palma,PMI,Europe,ES,2018-04-21T04:00:00Z,2453.0,434.181,1259.9002232142855,
SK7647,Larnaca,LCA,Asia,CY,2018-04-21T04:00:00Z,2946.0,521.442,1513.1129464285714,
LH2421,Munich,MUC,Europe,DE,2018-04-21T04:05:00Z,1316.0,232.932,675.9187499999999,
SK6053,Faro,FAO,Europe,IT,2018-04-21T04:15:00Z,2352.0,416.304,1208.0249999999999,
DY4221,Malaga,AGP,Europe,ES,2018-04-21T04:00:00Z,2992.0,529.584,1536.7392857142854,
SK1803,Malaga,AGP,Europe,ES,2018-04-21T04:15:00Z,2992.0,529.584,1536.7392857142854,
SK7619,Antalya,AYT,Europe,TR,2018-04-21T04:15:00Z,2660.0,470.82,1366.2187499999998,
AF1463,Paris CDG,CDG,Europe,FR,2018-04-21T04:05:00Z,1523.0,269.57099999999997,782.2372767857141,
OS318,Vienna,VIE,Europe,AT,2018-04-21T04:35:00Z,1243.0,220.011,638.4247767857142,
PS174,Kiev,KBP,Europe,UA,2018-04-21T02:50:00Z,1266.0,224.082,650.2379464285714,
NVR245,Chania,CHQ,Africa,AO,2018-04-21T05:00:00Z,7911.0,1400.2469999999998,4063.216741071428,
SK1841,Rome FCO,FCO,Europe,IT,2018-04-21T05:10:00Z,1993.0,352.76099999999997,1023.6368303571427,
SK2935,Nice,NCE,Europe,FR,2018-04-21T05:15:00Z,1889.0,334.353,970.2207589285713,
DY4251,Barcelona,BCN,Europe,ES,2018-04-21T05:10:00Z,2281.0,403.73699999999997,1171.5582589285714,
DY4349,Zagreb,ZAG,Europe,HR,2018-04-21T05:15:00Z,1511.0,267.447,776.0738839285714,
SK1415,Copenhagen,CPH,Europe,DK,2018-04-21T04:10:00Z,523.0,92.571,268.62120535714286,
TP781,Lisbon,LIS,Europe,PT,2018-04-21T05:00:00Z,2993.0,529.761,1537.2529017857141,
D82849,London LGW,LGW,Europe,GB,2018-04-21T05:30:00Z,1465.0,259.305,752.4475446428571,
DY4321,Nice,NCE,Europe,FR,2018-04-21T05:35:00Z,1889.0,334.353,970.2207589285713,
SK525,London LHR,LHR,Europe,GB,2018-04-21T05:55:00Z,1454.0,257.358,746.7977678571428,
SK589,Brussels,BRU,Europe,BE,2018-04-21T06:05:00Z,1282.0,226.914,658.4558035714284,
LO456,Warsaw,WAW,Europe,PL,2018-04-21T05:55:00Z,812.0,143.724,417.05625,
DY4201,Alicante,ALC,Europe,ES,2018-04-21T05:55:00Z,2682.0,474.714,1377.5183035714283,
DY4283,Helsinki,HEL,Europe,FI,2018-04-21T06:00:00Z,397.0,102.029,296.0662946428571,
SK847,Oslo,OSL,Europe,NO,2018-04-21T06:10:00Z,417.0,107.169,310.98147321428564,
SK2645,Hamburg,HAM,Europe,DE,2018-04-21T06:25:00Z,812.0,143.724,417.05625,
SK1042,Kiruna,KRN,Europe,SE,2018-04-21T06:35:00Z,955.0,169.035,490.5033482142857,
SK535,Dublin,DUB,Europe,IE,2018-04-21T06:35:00Z,1630.0,288.51,837.1941964285714,
BA771,London LHR,LHR,Europe,GB,2018-04-21T05:50:00Z,1454.0,257.358,746.7977678571428,
AY802,Helsinki,HEL,Europe,FI,2018-04-21T06:30:00Z,397.0,102.029,296.0662946428571,
SK748,Tallinn,TLL,Europe,EE,2018-04-21T06:50:00Z,379.0,97.403,282.6426339285714,
TK1792,Istanbul IST,IST,Europe,TR,2018-04-21T05:45:00Z,2177.0,385.329,1118.1421874999999,
SK704,Helsinki,HEL,Europe,FI,2018-04-21T06:55:00Z,397.0,102.029,296.0662946428571,
DY4527,Marrakech,RAK,Africa,MA,2018-04-21T07:00:00Z,3644.0,644.9879999999999,1871.616964285714,
SK635,Frankfurt,FRA,Europe,DE,2018-04-21T07:00:00Z,1188.0,210.27599999999998,610.1758928571428,
SK419,Copenhagen,CPH,Europe,DK,2018-04-21T07:00:00Z,523.0,92.571,268.62120535714286,
BT102,Riga,RIX,Europe,LV,2018-04-21T06:55:00Z,443.0,113.851,330.37120535714286,
SK072,Are Ostersund,OSD,other,LV,2018-04-21T07:25:00Z,0.0,0.0,0.0,
EW7215,Hamburg,HAM,Europe,DE,2018-04-21T06:45:00Z,812.0,143.724,417.05625,
SK483,Oslo,OSL,Europe,NO,2018-04-21T07:25:00Z,417.0,107.169,310.98147321428564,
SK151,Goteborg,GOT,Europe,SE,2018-04-21T07:25:00Z,397.0,102.029,296.0662946428571,
DY4037,Lulea,LLA,Europe,SE,2018-04-21T07:30:00Z,727.0,128.679,373.3988839285714,
SK1417,Copenhagen,CPH,Europe,DK,2018-04-21T05:45:00Z,523.0,92.571,268.62120535714286,
DY4153,Copenhagen,CPH,Europe,DK,2018-04-21T07:20:00Z,523.0,92.571,268.62120535714286,
SK2901,Funchal,FNC,other,PT,2018-04-21T07:20:00Z,3932.0,695.9639999999999,2019.5383928571425,
QR170,Doha,DOH,Asia,QA,2018-04-21T07:05:00Z,4590.0,812.43,2357.497767857142,
SK024,Umea,UME,Europe,SE,2018-04-21T07:30:00Z,514.0,90.978,263.9986607142857,
SK689,Milan LIN,LIN,Europe,IT,2018-04-21T07:30:00Z,1653.0,292.58099999999996,849.0073660714285,
SK2547,Manchester,MAN,Europe,GB,2018-04-21T05:50:00Z,1403.0,248.331,720.6033482142857,
EW9217,Dusseldorf,DUS,Europe,DE,2018-04-21T07:30:00Z,1149.0,203.373,590.1448660714285,
SK1819,Gran Canaria,LPA,other,DE,2018-04-21T07:35:00Z,0.0,0.0,0.0,
OS312,Vienna,VIE,Europe,AT,2018-04-21T07:45:00Z,1243.0,220.011,638.4247767857142,
SK107,Malmo,MMX,Europe,SE,2018-04-21T08:00:00Z,513.0,90.801,263.48504464285713,
SK2545,Edinburgh,EDI,Europe,GB,2018-04-21T07:35:00Z,1315.0,232.755,675.4051339285713,
DY4365,Venice,VCE,Europe,IT,2018-04-21T07:50:00Z,1594.0,282.138,818.7040178571427,
SK1827,Nice,NCE,Europe,FR,2018-04-21T08:00:00Z,1889.0,334.353,970.2207589285713,
LX1249,Zurich,ZRH,Europe,CH,2018-04-21T07:50:00Z,1471.0,260.36699999999996,755.5292410714284,
SK939,Los Angeles,LAX,America,US,2018-04-21T07:55:00Z,8893.0,1574.061,4567.587723214285,
LG5788,Luxembourg,LUX,Europe,LU,2018-04-21T08:05:00Z,1306.0,231.16199999999998,670.7825892857142,
SK1012,Skelleftea,SFT,Europe,SE,2018-04-21T07:50:00Z,622.0,110.094,319.46919642857137,
SK1833,Athens,ATH,Europe,GR,2018-04-21T08:00:00Z,2411.0,426.74699999999996,1238.3283482142856,
SK006,Lulea,LLA,Europe,SE,2018-04-21T08:10:00Z,727.0,128.679,373.3988839285714,
0B148,Bucharest,OTP,Europe,RO,2018-04-21T07:55:00Z,1745.0,308.865,896.260044642857,
SK1767,Prague,PRG,Europe,CZ,2018-04-21T07:05:00Z,1056.0,186.91199999999998,542.3785714285713,
DY807,Oslo,OSL,Europe,NO,2018-04-21T08:00:00Z,417.0,107.169,310.98147321428564,
LH801,Frankfurt,FRA,Europe,DE,2018-04-21T08:10:00Z,1188.0,210.27599999999998,610.1758928571428,
SK079,Visby,VBY,Europe,SE,2018-04-21T08:30:00Z,189.0,48.573,140.94843749999998,
EZY5888,Berlin TXL,TXL,Europe,DE,2018-04-21T07:45:00Z,810.0,143.37,416.0290178571428,
LO454,Warsaw,WAW,Europe,PL,2018-04-21T08:30:00Z,812.0,143.724,417.05625,
SQ361,Singapore,SIN,Asia,SG,2018-04-21T08:25:00Z,9651.0,1708.2269999999999,4956.908705357142,
SK2092,Ornskoldsvik,OER,Europe,SE,2018-04-21T09:00:00Z,442.0,113.59400000000001,329.6254464285714,
DY4323,Nice,NCE,Europe,FR,2018-04-21T08:20:00Z,1889.0,334.353,970.2207589285713,
SK2615,Geneva,GVA,Europe,CH,2018-04-21T08:55:00Z,1663.0,294.351,854.1435267857142,
SK571,Paris CDG,CDG,Europe,FR,2018-04-21T08:10:00Z,1523.0,269.57099999999997,782.2372767857141,
BA777,London LHR,LHR,Europe,GB,2018-04-21T09:15:00Z,1454.0,257.358,746.7977678571428,
SK531,London LHR,LHR,Europe,GB,2018-04-21T09:15:00Z,1454.0,257.358,746.7977678571428,
D86651,Palma,PMI,Europe,ES,2018-04-21T09:10:00Z,2453.0,434.181,1259.9002232142855,
D85351,Alicante,ALC,Europe,ES,2018-04-21T09:05:00Z,2682.0,474.714,1377.5183035714283,
DY4521,Agadir,AGA,Africa,MA,2018-04-21T09:35:00Z,3829.0,677.733,1966.6359374999995,
D86091,Madrid,MAD,Europe,ES,2018-04-21T09:45:00Z,2596.0,459.49199999999996,1333.3473214285711,
DY4241,Gran Canaria,LPA,other,ES,2018-04-21T09:15:00Z,0.0,0.0,0.0,
LH2415,Munich,MUC,Europe,DE,2018-04-21T09:50:00Z,1316.0,232.932,675.9187499999999,
KL1108,Amsterdam,AMS,Europe,NL,2018-04-21T09:30:00Z,1127.0,199.47899999999998,578.8453124999999,
