flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
D8224,Umea,UME,Europe,SE,2018-04-22T05:45:00Z,514.0,90.978,263.9986607142857,
BLX205,Tenerife,TFS,other,ES,2018-04-22T05:55:00Z,4310.0,762.87,2213.6852678571427,
TP781,Lisbon,LIS,Europe,PT,2018-04-22T05:00:00Z,2993.0,529.761,1537.2529017857141,
WLB5510,Beirut,BEY,Asia,LB,2018-04-22T09:05:00Z,3109.0,550.293,1596.8323660714286,
MV521,Athens,ATH,Europe,GR,2018-04-22T11:10:00Z,2411.0,426.74699999999996,1238.3283482142856,
SK1746,Riga,RIX,Europe,LV,2018-04-22T19:00:00Z,443.0,113.851,330.37120535714286,
SK2475,Trondheim,TRD,Europe,NO,2018-04-22T19:00:00Z,612.0,108.324,314.33303571428564,
SK1487,Billund,BLL,Europe,DK,2018-04-22T19:05:00Z,668.0,118.23599999999999,343.09553571428563,
ASE021,Oslo,OSL,Europe,NO,2018-04-22T21:00:00Z,417.0,107.169,310.98147321428564,
NJE510H,Amsterdam,AMS,Europe,NL,2018-04-22T03:55:00Z,1127.0,199.47899999999998,578.8453124999999,
OS314,Vienna,VIE,Europe,AT,2018-04-22T14:00:00Z,1243.0,220.011,638.4247767857142,
EW371,Cologne,CGN,Europe,DE,2018-04-22T13:25:00Z,1168.0,206.736,599.9035714285714,
LX1251,Zurich,ZRH,Europe,CH,2018-04-22T13:15:00Z,1471.0,260.36699999999996,755.5292410714284,
LO8126,Tallinn,TLL,Europe,EE,2018-04-22T16:45:00Z,379.0,97.403,282.6426339285714,
LH2419,Munich,MUC,Europe,DE,2018-04-22T16:40:00Z,1316.0,232.932,675.9187499999999,
LO8124,Tallinn,TLL,Europe,EE,2018-04-22T12:40:00Z,379.0,97.403,282.6426339285714,
OS316,Vienna,VIE,Europe,AT,2018-04-22T16:25:00Z,1243.0,220.011,638.4247767857142,
KL1118,Amsterdam,AMS,Europe,NL,2018-04-22T18:20:00Z,1127.0,199.47899999999998,578.8453124999999,
LH805,Frankfurt,FRA,Europe,DE,2018-04-22T16:50:00Z,1188.0,210.27599999999998,610.1758928571428,
BA783,London LHR,LHR,Europe,GB,2018-04-22T19:20:00Z,1454.0,257.358,746.7977678571428,
2N806,Mariehamn,MHQ,Europe,AX,2018-04-22T14:30:00Z,135.0,34.695,100.67745535714285,
2N493,Kokkola/Jakobst,KOK,Europe,FI,2018-04-22T15:50:00Z,558.0,98.76599999999999,286.5977678571428,
2N497,Kokkola/Jakobst,KOK,Europe,FI,2018-04-22T19:30:00Z,558.0,98.76599999999999,286.5977678571428,
LX1255,Zurich,ZRH,Europe,CH,2018-04-22T17:35:00Z,1471.0,260.36699999999996,755.5292410714284,
LO458,Warsaw,WAW,Europe,PL,2018-04-22T17:35:00Z,812.0,143.724,417.05625,
LO8120,Tallinn,TLL,Europe,EE,2018-04-22T20:25:00Z,379.0,97.403,282.6426339285714,
AI168,New Delhi,DEL,Asia,IN,2018-04-22T18:40:00Z,5577.0,987.1289999999999,2864.4368303571423,
EW7219,Hamburg,HAM,Europe,DE,2018-04-22T18:05:00Z,812.0,143.724,417.05625,
SU2387,Moscow,SVO,Europe,RU,2018-04-22T18:20:00Z,1229.0,217.533,631.2341517857142,
ET715,Addis Abeba,ADD,Africa,ET,2018-04-22T19:50:00Z,5871.0,1039.167,3015.4399553571425,
QR172,Doha,DOH,Asia,QA,2018-04-22T20:40:00Z,4590.0,812.43,2357.497767857142,
FI313,Reykjavik,KEF,other,IS,2018-04-22T20:20:00Z,2135.0,377.895,1096.5703124999998,
LG5786,Luxembourg,LUX,Europe,LU,2018-04-22T17:55:00Z,1306.0,231.16199999999998,670.7825892857142,
NJE445,Dusseldorf,DUS,Europe,DE,2018-04-22T04:45:00Z,1149.0,203.373,590.1448660714285,
EZY2650,Milan MXP,MXP,Europe,IT,2018-04-22T14:25:00Z,1648.0,291.69599999999997,846.4392857142855,
EZY5886,Berlin TXL,TXL,Europe,DE,2018-04-22T13:40:00Z,810.0,143.37,416.0290178571428,
TOM3753,Goteborg,GOT,Europe,SE,2018-04-22T18:15:00Z,397.0,102.029,296.0662946428571,
JU415,Belgrade,BEG,Europe,RS,2018-04-22T18:25:00Z,1624.0,287.448,834.1125,
SK1427,Copenhagen,CPH,Europe,DK,2018-04-22T18:50:00Z,523.0,92.571,268.62120535714286,
SK1429,Copenhagen,CPH,Europe,DK,2018-04-22T15:15:00Z,523.0,92.571,268.62120535714286,
SK1527,London LHR,LHR,Europe,GB,2018-04-22T17:40:00Z,1454.0,257.358,746.7977678571428,
SK1483,Oslo,OSL,Europe,NO,2018-04-22T17:50:00Z,417.0,107.169,310.98147321428564,
SK724,Helsinki,HEL,Europe,FI,2018-04-22T19:40:00Z,397.0,102.029,296.0662946428571,
SK728,Helsinki,HEL,Europe,FI,2018-04-22T20:30:00Z,397.0,102.029,296.0662946428571,
SK4226,Vaasa,VAA,Europe,FI,2018-04-22T16:30:00Z,460.0,118.22,343.0491071428571,
DY815,Oslo,OSL,Europe,NO,2018-04-22T13:20:00Z,417.0,107.169,310.98147321428564,
DY4253,Barcelona,BCN,Europe,ES,2018-04-22T13:50:00Z,2281.0,403.73699999999997,1171.5582589285714,
DY4125,Oslo,OSL,Europe,NO,2018-04-22T18:30:00Z,417.0,107.169,310.98147321428564,
DY4313,Paris ORY,ORY,Europe,FR,2018-04-22T16:05:00Z,1557.0,275.589,799.7002232142856,
DY4547,Riga,RIX,Europe,LV,2018-04-22T12:45:00Z,443.0,113.851,330.37120535714286,
DY4571,Prague,PRG,Europe,CZ,2018-04-22T12:30:00Z,1056.0,186.91199999999998,542.3785714285713,
DY4455,London LGW,LGW,Europe,GB,2018-04-22T12:10:00Z,1465.0,259.305,752.4475446428571,
DY4501,Munich,MUC,Europe,DE,2018-04-22T16:30:00Z,1316.0,232.932,675.9187499999999,
DY4223,Malaga,AGP,Europe,ES,2018-04-22T12:30:00Z,2992.0,529.584,1536.7392857142854,
DY4119,Oslo,OSL,Europe,NO,2018-04-22T15:30:00Z,417.0,107.169,310.98147321428564,
DY4601,Dubai,DXB,Asia,AE,2018-04-22T16:00:00Z,4760.0,842.52,2444.8124999999995,
D82857,London LGW,LGW,Europe,GB,2018-04-22T16:25:00Z,1465.0,259.305,752.4475446428571,
DY821,Oslo,OSL,Europe,NO,2018-04-22T16:30:00Z,417.0,107.169,310.98147321428564,
DY4507,Berlin SXF,SXF,Europe,DE,2018-04-22T17:30:00Z,823.0,145.671,422.70602678571424,
D83209,Copenhagen,CPH,Europe,DK,2018-04-22T14:30:00Z,523.0,92.571,268.62120535714286,
D86451,Tenerife,TFS,other,ES,2018-04-22T14:30:00Z,4310.0,762.87,2213.6852678571427,
EZS1574,Geneva,GVA,Europe,CH,2018-04-22T13:25:00Z,1663.0,294.351,854.1435267857142,
EZY6034,Bristol,BRS,Europe,GB,2018-04-22T19:40:00Z,1563.0,276.651,802.7819196428571,
EZY2458,London LTN,LTN,other,GB,2018-04-22T21:30:00Z,0.0,0.0,0.0,
D83217,Copenhagen,CPH,Europe,DK,2018-04-22T19:50:00Z,523.0,92.571,268.62120535714286,
DY827,Oslo,OSL,Europe,NO,2018-04-22T19:30:00Z,417.0,107.169,310.98147321428564,
DY4011,Umea,UME,Europe,SE,2018-04-22T13:50:00Z,514.0,90.978,263.9986607142857,
2N668,Hemavan Tarnaby,HMV,Europe,SE,2018-04-22T15:00:00Z,725.0,128.325,372.3716517857142,
2N594,Arvidsjaur,AJR,Europe,SE,2018-04-22T17:15:00Z,700.0,123.89999999999999,359.53124999999994,
2N1008,Jonkoping,JKG,Europe,SE,2018-04-22T16:10:00Z,285.0,73.245,212.54129464285714,
2N666,Hemavan Tarnaby,HMV,Europe,SE,2018-04-22T17:20:00Z,725.0,128.325,372.3716517857142,
DY4043,Lulea,LLA,Europe,SE,2018-04-22T15:05:00Z,727.0,128.679,373.3988839285714,
DY4045,Lulea,LLA,Europe,SE,2018-04-22T16:20:00Z,727.0,128.679,373.3988839285714,
DY4015,Umea,UME,Europe,SE,2018-04-22T16:50:00Z,514.0,90.978,263.9986607142857,
DY4099,Skelleftea,SFT,Europe,SE,2018-04-22T19:20:00Z,622.0,110.094,319.46919642857137,
DY4049,Lulea,LLA,Europe,SE,2018-04-22T19:50:00Z,727.0,128.679,373.3988839285714,
DY4055,Malmo,MMX,Europe,SE,2018-04-22T19:50:00Z,513.0,90.801,263.48504464285713,
DY4051,Malmo,MMX,Europe,SE,2018-04-22T13:20:00Z,513.0,90.801,263.48504464285713,
SK083,Visby,VBY,Europe,SE,2018-04-22T15:10:00Z,189.0,48.573,140.94843749999998,
DY4097,Skelleftea,SFT,Europe,SE,2018-04-22T16:00:00Z,622.0,110.094,319.46919642857137,
SK121,Malmo,MMX,Europe,SE,2018-04-22T16:05:00Z,513.0,90.801,263.48504464285713,
SK087,Visby,VBY,Europe,SE,2018-04-22T17:40:00Z,189.0,48.573,140.94843749999998,
DY4053,Malmo,MMX,Europe,SE,2018-04-22T18:25:00Z,513.0,90.801,263.48504464285713,
DY4047,Lulea,LLA,Europe,SE,2018-04-22T18:35:00Z,727.0,128.679,373.3988839285714,
SK113,Malmo,MMX,Europe,SE,2018-04-22T19:20:00Z,513.0,90.801,263.48504464285713,
SK085,Visby,VBY,Europe,SE,2018-04-22T19:40:00Z,189.0,48.573,140.94843749999998,
DY4019,Umea,UME,Europe,SE,2018-04-22T19:50:00Z,514.0,90.978,263.9986607142857,
SK096,Ornskoldsvik,OER,Europe,SE,2018-04-22T15:00:00Z,442.0,113.59400000000001,329.6254464285714,
2N3106,Gallivare,GEV,Europe,SE,2018-04-22T16:30:00Z,878.0,155.406,450.95491071428563,
2N556,Kramfors,KRF,Europe,SE,2018-04-22T13:15:00Z,401.0,103.057,299.0493303571428,
HP368,Kristianstad,KID,Europe,SE,2018-04-22T16:40:00Z,435.0,111.795,324.4051339285714,
SK179,Angelholm,AGH,Europe,SE,2018-04-22T17:15:00Z,461.0,118.477,343.79486607142854,
SK1044,Kiruna,KRN,Europe,SE,2018-04-22T15:15:00Z,955.0,169.035,490.5033482142857,
SK098,Ornskoldsvik,OER,Europe,SE,2018-04-22T19:30:00Z,442.0,113.59400000000001,329.6254464285714,
2N260,Karlstad,KSD,Europe,SE,2018-04-22T16:20:00Z,259.0,66.563,193.15156249999998,
IS658,Sveg,EVG,Europe,SE,2018-04-22T14:30:00Z,363.0,93.291,270.7104910714285,
SK171,Goteborg,GOT,Europe,SE,2018-04-22T18:30:00Z,397.0,102.029,296.0662946428571,
SK074,Are Ostersund,OSD,other,SE,2018-04-22T19:40:00Z,0.0,0.0,0.0,
SK187,Angelholm,AGH,Europe,SE,2018-04-22T20:20:00Z,461.0,118.477,343.79486607142854,
SK060,Sundsvall,SDL,Europe,SE,2018-04-22T20:25:00Z,343.0,88.151,255.79531249999994,
SK058,Sundsvall,SDL,Europe,SE,2018-04-22T20:55:00Z,343.0,88.151,255.79531249999994,
SK016,Lulea,LLA,Europe,SE,2018-04-22T16:10:00Z,727.0,128.679,373.3988839285714,
SK2018,Lulea,LLA,Europe,SE,2018-04-22T20:15:00Z,727.0,128.679,373.3988839285714,
SK1127,Ronneby,RNB,Europe,SE,2018-04-22T16:40:00Z,385.0,98.94500000000001,287.1171875,
SK1145,Ronneby,RNB,Europe,SE,2018-04-22T20:00:00Z,385.0,98.94500000000001,287.1171875,
SK533,London LHR,LHR,Europe,GB,2018-04-22T16:20:00Z,1454.0,257.358,746.7977678571428,
SK2541,Edinburgh,EDI,Europe,GB,2018-04-22T17:00:00Z,1315.0,232.755,675.4051339285713,
VY1266,Barcelona,BCN,Europe,ES,2018-04-22T14:20:00Z,2281.0,403.73699999999997,1171.5582589285714,
SK002,Lulea,LLA,Europe,SE,2018-04-22T17:25:00Z,727.0,128.679,373.3988839285714,
SK189,Angelholm,AGH,Europe,SE,2018-04-22T16:05:00Z,461.0,118.477,343.79486607142854,
SK183,Angelholm,AGH,Europe,SE,2018-04-22T19:10:00Z,461.0,118.477,343.79486607142854,
SK022,Lulea,LLA,Europe,SE,2018-04-22T20:55:00Z,727.0,128.679,373.3988839285714,
SK411,Copenhagen,CPH,Europe,DK,2018-04-22T17:55:00Z,523.0,92.571,268.62120535714286,
TK1796,Istanbul IST,IST,Europe,TR,2018-04-22T16:15:00Z,2177.0,385.329,1118.1421874999999,
SK4240,Tampere,TMP,Europe,FI,2018-04-22T20:30:00Z,395.0,101.515,294.5747767857143,
SK2720,Turku,TKU,Asia,TW,2018-04-22T20:35:00Z,8350.0,1477.9499999999998,4288.694196428571,
DY4083,Goteborg,GOT,Europe,SE,2018-04-22T13:00:00Z,397.0,102.029,296.0662946428571,
D86653,Palma,PMI,Europe,ES,2018-04-22T17:50:00Z,2453.0,434.181,1259.9002232142855,
D8211,Helsinki,HEL,Europe,FI,2018-04-22T13:30:00Z,397.0,102.029,296.0662946428571,
D82859,London LGW,LGW,Europe,GB,2018-04-22T19:30:00Z,1465.0,259.305,752.4475446428571,
D86093,Madrid,MAD,Europe,ES,2018-04-22T17:20:00Z,2596.0,459.49199999999996,1333.3473214285711,
