entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F719,Malaga,AGP,Europe,ES,2018-04-23T04:20:00Z,Departed,str(pricesdata),2992.0,529.584,1536.7392857142854
1,SK419,Copenhagen,CPH,Europe,DK,2018-04-23T05:35:00Z,Departed,str(pricesdata),523.0,92.571,268.62120535714286
2,D8218,Berlin SXF,SXF,Europe,DE,2018-04-23T05:40:00Z,Departed,str(pricesdata),823.0,145.671,422.70602678571424
3,QR170,Doha,DOH,Asia,QA,2018-04-23T07:05:00Z,Departed,str(pricesdata),4590.0,812.43,2357.497767857142
4,BLX183,Lanzarote,ACE,other,ES,2018-04-23T07:10:00Z,Departed,str(pricesdata),4322.0,764.9939999999999,2219.8486607142854
5,LG5782,Luxembourg,LUX,Europe,LU,2018-04-23T12:15:00Z,Departed,str(pricesdata),1306.0,231.16199999999998,670.7825892857142
6,SK6003,Malaga,AGP,Europe,ES,2018-04-23T18:55:00Z,Departed,str(pricesdata),2992.0,529.584,1536.7392857142854
7,IK328,TRENTO MATTTARE,ZIA,other,ES,2018-04-23T08:40:00Z,Departed,str(pricesdata),0.0,0.0,0.0
8,MV521,Athens,ATH,Europe,GR,2018-04-23T11:10:00Z,Departed,str(pricesdata),2411.0,426.74699999999996,1238.3283482142856
9,SK1487,Billund,BLL,Europe,DK,2018-04-23T18:35:00Z,Departed,str(pricesdata),668.0,118.23599999999999,343.09553571428563
10,NJE062Q,Paris LBG,LBG,Europe,FR,2018-04-23T09:05:00Z,Departed,str(pricesdata),1532.0,271.164,786.8598214285713
