entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F719,Malaga,AGP,Europe,ES,2018-04-23T04:20:00Z,Departed,str(pricesdata),2992.0,529.584,1536.7392857142854
1,SK419,Copenhagen,CPH,Europe,DK,2018-04-23T05:35:00Z,Departed,str(pricesdata),523.0,92.571,268.62120535714286
2,D8218,Berlin SXF,SXF,Europe,DE,2018-04-23T05:40:00Z,Departed,str(pricesdata),823.0,145.671,422.70602678571424
3,QR170,Doha,DOH,Asia,QA,2018-04-23T07:05:00Z,Departed,str(pricesdata),4590.0,812.43,2357.497767857142
4,BLX183,Lanzarote,ACE,other,ES,2018-04-23T07:10:00Z,Departed,str(pricesdata),4322.0,764.9939999999999,2219.8486607142854
5,LG5782,Luxembourg,LUX,Europe,LU,2018-04-23T12:15:00Z,Departed,str(pricesdata),1306.0,231.16199999999998,670.7825892857142
6,SK6003,Malaga,AGP,Europe,ES,2018-04-23T18:55:00Z,Departed,str(pricesdata),2992.0,529.584,1536.7392857142854
7,IK328,TRENTO MATTTARE,ZIA,other,ES,2018-04-23T08:40:00Z,Departed,str(pricesdata),0.0,0.0,0.0
8,MV521,Athens,ATH,Europe,GR,2018-04-23T11:10:00Z,Departed,str(pricesdata),2411.0,426.74699999999996,1238.3283482142856
9,SK1487,Billund,BLL,Europe,DK,2018-04-23T18:35:00Z,Departed,str(pricesdata),668.0,118.23599999999999,343.09553571428563
10,NJE062Q,Paris LBG,LBG,Europe,FR,2018-04-23T09:05:00Z,Departed,str(pricesdata),1532.0,271.164,786.8598214285713
11,AF1063,Paris CDG,CDG,Europe,FR,2018-04-23T17:40:00Z,Departed,str(pricesdata),1523.0,269.57099999999997,782.2372767857141
12,PC1283,Istanbul SAW,SAW,other,FR,2018-04-22T23:05:00Z,Departed,str(pricesdata),0.0,0.0,0.0
13,PS174,Kiev,KBP,Europe,UA,2018-04-23T02:50:00Z,Departed,str(pricesdata),1266.0,224.082,650.2379464285714
14,SK149,Goteborg,GOT,Europe,SE,2018-04-23T04:05:00Z,Departed,str(pricesdata),397.0,102.029,296.0662946428571
15,SK1415,Copenhagen,CPH,Europe,DK,2018-04-23T04:05:00Z,Departed,str(pricesdata),523.0,92.571,268.62120535714286
16,AF1463,Paris CDG,CDG,Europe,FR,2018-04-23T04:05:00Z,Departed,str(pricesdata),1523.0,269.57099999999997,782.2372767857141
17,LH2421,Munich,MUC,Europe,DE,2018-04-23T04:05:00Z,Departed,str(pricesdata),1316.0,232.932,675.9187499999999
18,SK481,Oslo,OSL,Europe,NO,2018-04-23T04:10:00Z,Departed,str(pricesdata),417.0,107.169,310.98147321428564
19,LH809,Frankfurt,FRA,Europe,DE,2018-04-23T04:05:00Z,Departed,str(pricesdata),1188.0,210.27599999999998,610.1758928571428
20,2N552,Kramfors,KRF,Europe,SE,2018-04-23T04:30:00Z,Departed,str(pricesdata),401.0,103.057,299.0493303571428
21,KL1104,Amsterdam,AMS,Europe,NL,2018-04-23T04:30:00Z,Departed,str(pricesdata),1127.0,199.47899999999998,578.8453124999999
22,OS318,Vienna,VIE,Europe,AT,2018-04-23T04:35:00Z,Departed,str(pricesdata),1243.0,220.011,638.4247767857142
23,DY4281,Helsinki,HEL,Europe,FI,2018-04-23T04:40:00Z,Departed,str(pricesdata),397.0,102.029,296.0662946428571
24,AY826,Helsinki,HEL,Europe,FI,2018-04-23T04:50:00Z,Departed,str(pricesdata),397.0,102.029,296.0662946428571
25,DY4221,Malaga,AGP,Europe,ES,2018-04-23T05:00:00Z,Departed,str(pricesdata),2992.0,529.584,1536.7392857142854
26,SK485,Oslo,OSL,Europe,NO,2018-04-23T05:00:00Z,Departed,str(pricesdata),417.0,107.169,310.98147321428564
27,SK1805,Palma,PMI,Europe,ES,2018-04-23T05:00:00Z,Departed,str(pricesdata),2453.0,434.181,1259.9002232142855
28,DY4103,Oslo,OSL,Europe,NO,2018-04-23T05:00:00Z,Departed,str(pricesdata),417.0,107.169,310.98147321428564
29,SK103,Malmo,MMX,Europe,SE,2018-04-23T05:10:00Z,Departed,str(pricesdata),513.0,90.801,263.48504464285713
30,SK1417,Copenhagen,CPH,Europe,DK,2018-04-23T05:10:00Z,Departed,str(pricesdata),523.0,92.571,268.62120535714286
31,DY4071,Goteborg,GOT,Europe,SE,2018-04-23T04:55:00Z,Departed,str(pricesdata),397.0,102.029,296.0662946428571
32,DY4151,Copenhagen,CPH,Europe,DK,2018-04-23T05:00:00Z,Departed,str(pricesdata),523.0,92.571,268.62120535714286
33,SK589,Brussels,BRU,Europe,BE,2018-04-23T05:10:00Z,Departed,str(pricesdata),1282.0,226.914,658.4558035714284
34,SK2153,Goteborg,GOT,Europe,SE,2018-04-23T05:15:00Z,Departed,str(pricesdata),397.0,102.029,296.0662946428571
35,SK4222,Vaasa,VAA,Europe,FI,2018-04-23T05:05:00Z,Departed,str(pricesdata),460.0,118.22,343.0491071428571
36,SK573,Paris CDG,CDG,Europe,FR,2018-04-23T05:15:00Z,Departed,str(pricesdata),1523.0,269.57099999999997,782.2372767857141
37,SK605,Zurich,ZRH,Europe,CH,2018-04-23T05:20:00Z,Departed,str(pricesdata),1471.0,260.36699999999996,755.5292410714284
38,DY4025,Malmo,MMX,Europe,SE,2018-04-23T05:30:00Z,Departed,str(pricesdata),513.0,90.801,263.48504464285713
