entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F603,Ponta Delgada,PDL,other,PT,2018-04-24T04:30:00Z,Departed,3911.0,692.247,2008.7524553571425,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
1,BLX753,Funchal,FNC,other,PT,2018-04-24T05:30:00Z,Departed,3932.0,695.9639999999999,2019.5383928571425,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
2,EZS1146,Basel,BSL,Europe,CH,2018-04-24T07:50:00Z,Departed,1479.0,261.78299999999996,759.638169642857,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
3,LG5782,Luxembourg,LUX,Europe,LU,2018-04-24T12:15:00Z,Departed,1306.0,231.16199999999998,670.7825892857142,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
4,MV521,Athens,ATH,Europe,GR,2018-04-24T11:10:00Z,Departed,2411.0,426.74699999999996,1238.3283482142856,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
5,LO8122,Tallinn,TLL,Europe,EE,2018-04-24T05:35:00Z,Departed,379.0,97.403,282.6426339285714,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
6,SK117,Malmo,MMX,Europe,SE,2018-04-24T11:10:00Z,Departed,513.0,90.801,263.48504464285713,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
7,AT225,Casablanca,CMN,Africa,MA,2018-04-24T14:25:00Z,Departed,3436.0,608.1719999999999,1764.784821428571,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
8,2N3104,Ornskoldsvik,OER,Europe,SE,2018-04-24T11:40:00Z,Departed,442.0,113.59400000000001,329.6254464285714,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
9,ASE867,Paris LBG,LBG,Europe,FR,2018-04-24T09:00:00Z,Departed,1532.0,271.164,786.8598214285713,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
