entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F1715,Malaga,AGP,Europe,ES,2018-04-25T03:30:00Z,Deleted,2992.0,529.584,1536.7392857142854,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
1,D8218,Berlin SXF,SXF,Europe,DE,2018-04-25T05:40:00Z,Deleted,823.0,145.671,422.70602678571424,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
2,LG5782,Luxembourg,LUX,Europe,LU,2018-04-25T12:15:00Z,Deleted,1306.0,231.16199999999998,670.7825892857142,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
3,IK328,TRENTO MATTTARE,ZIA,other,LU,2018-04-25T08:40:00Z,Scheduled,0.0,0.0,0.0,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
4,MV521,Athens,ATH,Europe,GR,2018-04-25T11:10:00Z,Scheduled,2411.0,426.74699999999996,1238.3283482142856,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
5,EZY5884,Berlin SXF,SXF,Europe,DE,2018-04-25T11:45:00Z,Scheduled,823.0,145.671,422.70602678571424,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
6,KK2302,Istanbul IST,IST,Europe,TR,2018-04-25T12:45:00Z,Scheduled,2177.0,385.329,1118.1421874999999,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
7,B2856,Minsk,MSQ,Europe,BY,2018-04-25T08:25:00Z,Scheduled,838.0,148.326,430.41026785714286,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
8,SK4244,Tampere,TMP,Europe,FI,2018-04-25T12:15:00Z,Scheduled,395.0,101.515,294.5747767857143,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
9,ASE013,Trollhattan,THN,Europe,SE,2018-04-25T17:15:00Z,Cancelled,352.0,90.464,262.5071428571428,http://api.travelpayouts.com/v2/prices/latest?currency=usd&period_type=year&page=1&limit=30&show_to_affiliates=true&sorting=price&trip_class=0&token=fc796b73d53c1b96aae3d2a7af9cdb76
