entryID, flight ID, Destination, Destination_IATA, Continent, Country, Time, Status, Price, Distance, Emissions, TaxCuts 
0,6F1715,Malaga,AGP,Europe,ES,2018-04-25T03:30:00Z,Deleted,,2992.0,529.584,1536.7392857142854
1,D8218,Berlin SXF,SXF,Europe,DE,2018-04-25T05:40:00Z,Deleted,,823.0,145.671,422.70602678571424
2,LG5782,Luxembourg,LUX,Europe,LU,2018-04-25T12:15:00Z,Deleted,,1306.0,231.16199999999998,670.7825892857142
3,IK328,TRENTO MATTTARE,ZIA,other,LU,2018-04-25T08:40:00Z,Scheduled,,0.0,0.0,0.0
4,MV521,Athens,ATH,Europe,GR,2018-04-25T11:10:00Z,Scheduled,,2411.0,426.74699999999996,1238.3283482142856
5,EZY5884,Berlin SXF,SXF,Europe,DE,2018-04-25T11:45:00Z,Scheduled,,823.0,145.671,422.70602678571424
6,KK2302,Istanbul IST,IST,Europe,TR,2018-04-25T12:45:00Z,Scheduled,,2177.0,385.329,1118.1421874999999
7,B2856,Minsk,MSQ,Europe,BY,2018-04-25T08:25:00Z,Scheduled,,838.0,148.326,430.41026785714286
8,ASE013,Trollhattan,THN,Europe,SE,2018-04-25T17:15:00Z,Cancelled,,352.0,90.464,262.5071428571428
9,LH803,Frankfurt,FRA,Europe,DE,2018-04-25T11:10:00Z,Scheduled,,1188.0,210.27599999999998,610.1758928571428
10,EW371,Cologne,CGN,Europe,DE,2018-04-25T13:25:00Z,Scheduled,,1168.0,206.736,599.9035714285714
11,LH2417,Munich,MUC,Europe,DE,2018-04-25T13:25:00Z,Scheduled,,1316.0,232.932,675.9187499999999
12,LH807,Frankfurt,FRA,Europe,DE,2018-04-25T14:35:00Z,Scheduled,,1188.0,210.27599999999998,610.1758928571428
